ad_id,campaign_id,headline,body_text,cta,image_size,image_url,ad_type,status,copy_tone,img_category
A001,C001,Spring Into Style,Discover our spring collection.,Shop Now,728x90,images/A001.png,display,active,urgent,product
A002,C001,New Season Arrivals,Shop the latest trends now.,Shop Now,300x250,images/A002.png,display,active,playful,lifestyle
A003,C001,Fresh Looks Daily,New arrivals every week.,Explore Now,160x600,images/A003.png,display,active,informational,promo
A004,C001,Trend Alert 2024,Style redefined this season.,Get Started,320x50,images/A004.png,display,paused,emotional,lifestyle
A005,C002,Next-Gen Gadgets,Best gadgets at best prices.,Shop Now,300x250,images/A005.png,display,active,urgent,product
A006,C002,Tech Deals Today,"Top tech, unbeatable deals.",Get Started,728x90,images/A006.png,display,active,informational,promo
A007,C002,Power Your Life,Upgrade your devices today.,Learn More,320x50,images/A007.png,display,active,playful,product
A008,C002,Smart Savings,Save big on top brands.,Shop Now,160x600,images/A008.png,display,active,urgent,text-heavy
A009,C003,Your Story Starts Here,Build your brand with us.,Learn More,728x90,images/A009.png,display,active,emotional,lifestyle
A010,C003,Moments That Matter,Connect with what matters.,Discover More,300x250,images/A010.png,display,active,emotional,lifestyle
A011,C003,Live Beautifully,Inspiring stories every day.,Explore Now,160x600,images/A011.png,display,active,informational,product
A012,C003,Feel the Difference,Be part of something bigger.,Learn More,320x50,images/A012.png,display,active,playful,lifestyle
A013,C004,See What's Next,Reach millions who matter.,Watch Now,300x250,images/A013.png,display,active,informational,lifestyle
A014,C004,Discover More,"Your brand, amplified.",Learn More,728x90,images/A014.png,display,active,emotional,promo
A015,C004,Big Ideas Bold Moves,"More reach, more impact.",Discover More,160x600,images/A015.png,display,active,urgent,text-heavy
A016,C004,Watch and Remember,Video that resonates.,Watch Now,320x50,images/A016.png,display,active,playful,product
A017,C005,Read What's Hot,Drive traffic to your blog.,Click Here,728x90,images/A017.png,display,active,playful,lifestyle
A018,C005,Ideas Worth Clicking,Get more readers today.,Learn More,320x50,images/A018.png,display,active,informational,text-heavy
A019,C005,Daily Inspiration,Clicks that convert.,Explore Now,300x250,images/A019.png,display,active,emotional,lifestyle
A020,C005,Explore More Today,Grow your audience fast.,Get Started,160x600,images/A020.png,display,active,urgent,promo
A021,C001,Your Fresh Style Awaits,Explore our vibrant new collection and redefine your look.,Learn More,300x250,images/A021.png,display,active,conversational,lifestyle
A022,C001,Your Fresh Style Awaits: Shop the Collection,Explore our vibrant new collection and redefine your look. Shop the collection today.,Learn More,300x250,images/A022.png,display,active,conversational,lifestyle
